上榜日期,证券号码,证券简称,今日涨幅,买入额（万）,卖出额（万）,净买入（万）, 所属营业部
2025-09-12,601929,吉视传媒,1.0900%,0,5794.26万,-5794.26万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,600173,卧龙新能,1.6800%,0,1161.7万,-1161.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002809,红墙股份,-1.5900%,262.24万,444.67万,-182.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002642,荣联科技,1.3100%,1995.17万,1697.98万,297.19万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,000981,山子高科,0.9400%,3454.35万,4846.27万,-1391.91万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,603511,爱慕股份,1.8000%,356.04万,0,356.04万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,603370,华新精科,%,471.63万,0,471.63万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,600173,卧龙新能,1.6800%,970.15万,0,970.15万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,301488,豪恩汽电,1.2000%,973.91万,1393.02万,-419.1万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,300457,赢合科技,1.2300%,1415.75万,1790.65万,-374.9万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,300139,晓程科技,1.5700%,2998.64万,1471.65万,1526.98万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,002716,湖南白银,1.4900%,663.19万,1652.92万,-989.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,920100,三协电机,%,1399.67万,878万,521.66万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,603370,华新精科,%,454.59万,0,454.59万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,301139,元道通信,2.2700%,759.77万,697.56万,62.2万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,603511,爱慕股份,1.8000%,345.97万,0,345.97万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,603370,华新精科,%,404.24万,0,404.24万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002642,荣联科技,1.3100%,1977.72万,1031.99万,945.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,002115,三维通信,1.0400%,4382.88万,3969.22万,413.66万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,603370,华新精科,%,416.99万,0,416.99万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-12,301488,豪恩汽电,1.2000%,1028.96万,1450.06万,-421.1万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-12,603511,爱慕股份,1.8000%,398.28万,0,398.28万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-12,300457,赢合科技,1.2300%,2038.65万,1943.3万,95.35万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-11,920100,三协电机,%,1056.39万,1023.52万,32.87万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,920088,科力股份,%,251.1万,604.44万,-353.33万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,601212,白银有色,%,276.87万,0,276.87万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,301248,杰创智能,2.3100%,963.78万,902.68万,61.1万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,002467,二六三,0.4600%,3820.63万,1435.09万,2385.53万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,396.49万,74.17万,322.32万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,603257,中国瑞林,-0.0600%,0,727.48万,-727.48万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,603163,圣晖集成,2.2300%,2242.94万,0,2242.94万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,601212,白银有色,%,264.57万,0,264.57万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002547,春兴精工,1.7600%,3211.36万,3558.14万,-346.78万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002467,二六三,0.4600%,4526.55万,2064.84万,2461.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002130,沃尔核材,8.0900%,1286万,2849.09万,-1563.08万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002115,三维通信,1.0400%,5977.45万,4658.24万,1319.2万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,324.4万,100.51万,223.88万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000809,和展能源,0.0000%,365.49万,300.62万,64.86万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000524,岭南控股,0.0000%,1382.44万,1107.14万,275.3万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,603709,中源家居,0.7500%,890.51万,0,890.51万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,603285,键邦股份,0.9500%,646.23万,0,646.23万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,301139,元道通信,2.2700%,1785.67万,407.93万,1377.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,003036,泰坦股份,5.0200%,410.77万,201.82万,208.94万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002547,春兴精工,1.7600%,2712.12万,3038.97万,-326.85万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002467,二六三,0.4600%,4099万,1587.83万,2511.16万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002181,粤传媒,-1.0900%,2248.71万,1667万,581.71万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002174,游族网络,1.6800%,381.54万,139.83万,241.7万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,348.33万,143.57万,204.76万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,000524,岭南控股,0.0000%,1185.89万,1084.72万,101.17万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,603709,中源家居,0.7500%,960.61万,0,960.61万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-11,002547,春兴精工,1.7600%,2523.06万,2921.85万,-398.79万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,306.15万,99.88万,206.26万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-11,600776,东方通信,1.3900%,1462.23万,0,1462.23万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-11,000809,和展能源,0.0000%,232.98万,833.77万,-600.79万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-10,920100,三协电机,%,1139.51万,618.7万,520.8万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,920088,科力股份,%,1000.2万,736.96万,263.24万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,600021,上海电力,-0.4300%,0,2478.24万,-2478.24万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,301575,艾芬达,%,1547.49万,477.56万,1069.93万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,300651,金陵体育,-7.3700%,664.37万,895.93万,-231.55万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,300164,通源石油,0.7100%,1482.66万,535.24万,947.42万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,002630,ST华西,0.3700%,1370.71万,1235.32万,135.38万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-10,920088,科力股份,%,582.34万,563.56万,18.78万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,605099,共创草坪,-3.7400%,0,303.16万,-303.16万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,603709,中源家居,0.7500%,302.62万,0,302.62万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,603626,科森科技,1.3000%,2007.83万,0,2007.83万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,603257,中国瑞林,-0.0600%,594.1万,0,594.1万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,301575,艾芬达,%,1483.95万,442万,1041.95万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,301139,元道通信,2.2700%,220.46万,1116.76万,-896.3万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,300651,金陵体育,-7.3700%,618.32万,930.27万,-311.95万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002846,英联股份,-0.0600%,1869.24万,1113.42万,755.81万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002630,ST华西,0.3700%,1011.18万,959.67万,51.51万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002547,春兴精工,1.7600%,6339.68万,5847.7万,491.97万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002181,粤传媒,-1.0900%,1926.76万,2050.81万,-124.04万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002131,利欧股份,0.5900%,6070.77万,7039.89万,-969.11万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,002115,三维通信,1.0400%,1.15亿,1.23亿,-861.48万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-10,920088,科力股份,%,854.22万,450.04万,404.17万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,603839,安正时尚,-0.4200%,1738.67万,0,1738.67万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,600545,卓郎智能,10.1300%,0,366.21万,-366.21万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,301575,艾芬达,%,1950.93万,461.96万,1488.97万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,300651,金陵体育,-7.3700%,761.55万,1062.56万,-301万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,300139,晓程科技,1.5700%,1702.14万,2540.65万,-838.5万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,002630,ST华西,0.3700%,1006.95万,865.62万,141.33万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,002547,春兴精工,1.7600%,5691.14万,5797.22万,-106.08万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,002181,粤传媒,-1.0900%,1956.13万,2004.83万,-48.7万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,002131,利欧股份,0.5900%,9802.3万,6059.25万,3743.05万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,002115,三维通信,1.0400%,1.32亿,1.26亿,582.85万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,000691,*ST亚太,5.0300%,305.8万,80.05万,225.75万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-10,920088,科力股份,%,781.03万,263.12万,517.9万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,603839,安正时尚,-0.4200%,1601.77万,0,1601.77万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,603709,中源家居,0.7500%,304.7万,0,304.7万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,301575,艾芬达,%,1327.12万,378.97万,948.14万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,002547,春兴精工,1.7600%,3186.2万,1960.07万,1226.12万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,002289,*ST宇顺,4.9900%,268.37万,1503.06万,-1234.68万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,002115,三维通信,1.0400%,1.13亿,1.14亿,-109.19万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-10,603709,中源家居,0.7500%,0,379.96万,-379.96万,国金证券股份有限公司上海奉贤区金碧路证券营业部
2025-09-09,920100,三协电机,%,1608.29万,1488.34万,119.94万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-09,600749,西藏旅游,-0.0800%,0,2926.18万,-2926.18万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-09,301488,豪恩汽电,1.2000%,1481.6万,1455.26万,26.34万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-09,300139,晓程科技,1.5700%,1868.97万,2650.25万,-781.27万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-09,002547,春兴精工,1.7600%,428.22万,1185.98万,-757.75万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-09,603285,键邦股份,0.9500%,788.7万,0,788.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,603257,中国瑞林,-0.0600%,0,683.17万,-683.17万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,601929,吉视传媒,1.0900%,0,5145.4万,-5145.4万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,600697,欧亚集团,1.0700%,582.31万,0,582.31万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,301488,豪恩汽电,1.2000%,1215.06万,739.11万,475.94万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002846,英联股份,-0.0600%,841.53万,1439.98万,-598.44万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002717,ST岭南,0.5500%,255.72万,289.77万,-34.05万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002547,春兴精工,1.7600%,541.72万,1261.75万,-720.03万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002276,万马股份,0.1400%,718.08万,1338.79万,-620.71万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002251,步步高,1.0000%,4005.88万,3309.45万,696.43万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,002067,景兴纸业,0.0000%,1709.89万,2353.71万,-643.81万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,000524,岭南控股,0.0000%,1207.96万,1401.36万,-193.39万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-09,603709,中源家居,0.7500%,479.09万,0,479.09万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,603382,海阳科技,2.1100%,0,493.15万,-493.15万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,603257,中国瑞林,-0.0600%,0,479.01万,-479.01万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,601929,吉视传媒,1.0900%,5231.08万,0,5231.08万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,600749,西藏旅游,-0.0800%,0,2567.95万,-2567.95万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,600697,欧亚集团,1.0700%,712.65万,0,712.65万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,301488,豪恩汽电,1.2000%,1092.11万,1635.69万,-543.57万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,300528,幸福蓝海,1.7100%,4212.44万,3984.33万,228.11万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002846,英联股份,-0.0600%,632.66万,1191.89万,-559.22万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002547,春兴精工,1.7600%,619.53万,1566.31万,-946.77万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002276,万马股份,0.1400%,655.89万,1512.25万,-856.35万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002251,步步高,1.0000%,3998.68万,2998.58万,1000.1万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002115,三维通信,1.0400%,5958.23万,4392.99万,1565.24万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,002067,景兴纸业,0.0000%,2084.13万,2322.81万,-238.67万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,000524,岭南控股,0.0000%,1288.87万,1575.12万,-286.24万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-09,920100,三协电机,%,564.04万,1298.72万,-734.68万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,600749,西藏旅游,-0.0800%,2635.24万,0,2635.24万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,600697,欧亚集团,1.0700%,0,601.4万,-601.4万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,600689,上海三毛,-0.2500%,0,226.5万,-226.5万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,301488,豪恩汽电,1.2000%,1086.74万,646.18万,440.56万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,300528,幸福蓝海,1.7100%,4640.99万,3835.95万,805.03万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,002846,英联股份,-0.0600%,549.18万,1229.42万,-680.23万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,002547,春兴精工,1.7600%,424.62万,1407.12万,-982.49万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-09,000524,岭南控股,0.0000%,1305.38万,1118.18万,187.19万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-08,600697,欧亚集团,1.0700%,710.85万,0,710.85万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-08,301488,豪恩汽电,1.2000%,987.56万,1031.58万,-44.01万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-08,301076,新瀚新材,4.7800%,825.83万,1240.99万,-415.16万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-08,002115,三维通信,1.0400%,2368.95万,3852.57万,-1483.61万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-08,605055,迎丰股份,%,0,285.97万,-285.97万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,603257,中国瑞林,-0.0600%,423万,0,423万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,601606,长城军工,0.2800%,5593.58万,0,5593.58万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,600749,西藏旅游,-0.0800%,855.39万,0,855.39万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,600330,天通股份,2.9500%,5804.28万,0,5804.28万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,300651,金陵体育,-7.3700%,847.75万,1096.64万,-248.89万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,002617,露笑科技,0.6400%,5619.72万,3806.49万,1813.22万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,002248,华东数控,2.0600%,977.81万,565.64万,412.17万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,002210,飞马国际,-0.3300%,2938.63万,2572.48万,366.15万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,002115,三维通信,1.0400%,2605.03万,3413.79万,-808.76万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,002067,景兴纸业,0.0000%,2314.99万,2172.93万,142.05万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-08,603257,中国瑞林,-0.0600%,522.27万,0,522.27万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,601606,长城军工,0.2800%,0,5518.01万,-5518.01万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,600330,天通股份,2.9500%,5326.44万,0,5326.44万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,301488,豪恩汽电,1.2000%,1248.92万,1055.28万,193.63万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,300651,金陵体育,-7.3700%,1195.46万,1389.01万,-193.55万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,002617,露笑科技,0.6400%,5544.68万,4099.97万,1444.7万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,002115,三维通信,1.0400%,3117.66万,3349.36万,-231.69万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-08,600749,西藏旅游,-0.0800%,1011.82万,0,1011.82万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-08,600330,天通股份,2.9500%,5011.61万,0,5011.61万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-08,301076,新瀚新材,4.7800%,850.54万,1301.47万,-450.93万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-08,300651,金陵体育,-7.3700%,764.58万,1011.67万,-247.08万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,603370,华新精科,%,2512.63万,0,2512.63万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,600749,西藏旅游,-0.0800%,0,1541.25万,-1541.25万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,301658,首航新能,20.0000%,906.41万,482.51万,423.9万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,301488,豪恩汽电,1.2000%,1321.17万,1526.25万,-205.08万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,300763,锦浪科技,7.8400%,6945.29万,7855.38万,-910.08万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,300651,金陵体育,-7.3700%,1004.18万,358.43万,645.74万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,300410,正业科技,2.8200%,1451.03万,578.84万,872.18万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,300331,苏大维格,0.9700%,1050.99万,2650.9万,-1599.9万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,002305,*ST南置,2.5100%,872.12万,982.6万,-110.47万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,002256,兆新股份,0.4100%,4514.57万,3088.29万,1426.27万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,002115,三维通信,1.0400%,4116.62万,2091.75万,2024.86万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-05,920056,能之光,%,335.72万,589.96万,-254.23万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,605188,国光连锁,0.3700%,1374万,0,1374万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,603257,中国瑞林,-0.0600%,959.61万,0,959.61万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,603222,济民健康,0.1500%,926.22万,0,926.22万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,601929,吉视传媒,1.0900%,5163.68万,0,5163.68万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,601606,长城军工,0.2800%,1.38亿,0,1.38亿,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,600749,西藏旅游,-0.0800%,960.44万,0,960.44万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,600697,欧亚集团,1.0700%,1097.73万,0,1097.73万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,600376,首开股份,1.9900%,1864.08万,0,1864.08万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,301658,首航新能,20.0000%,512.44万,630.32万,-117.88万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,300651,金陵体育,-7.3700%,1227.14万,420.11万,807.03万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,300331,苏大维格,0.9700%,1260.06万,1892.9万,-632.84万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002547,春兴精工,1.7600%,2287.66万,1934.53万,353.12万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002265,建设工业,-1.0100%,2563.01万,3517.19万,-954.18万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002210,飞马国际,-0.3300%,1840.85万,1278.15万,562.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002173,创新医疗,0.2600%,2847.56万,2116.33万,731.22万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002115,三维通信,1.0400%,3556.39万,2831.62万,724.77万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,002067,景兴纸业,0.0000%,2414.45万,2549.87万,-135.41万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-05,920056,能之光,%,382.32万,540.23万,-157.9万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,603595,东尼电子,3.4100%,842.85万,0,842.85万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,603370,华新精科,%,2938.41万,0,2938.41万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,601606,长城军工,0.2800%,1.48亿,0,1.48亿,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,600697,欧亚集团,1.0700%,1375.1万,0,1375.1万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,301658,首航新能,20.0000%,504.76万,554.49万,-49.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,300763,锦浪科技,7.8400%,8495.16万,8488.08万,7.08万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,300651,金陵体育,-7.3700%,1409.77万,638.8万,770.97万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,300410,正业科技,2.8200%,1332.72万,459.82万,872.89万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002547,春兴精工,1.7600%,2218.74万,1878.02万,340.72万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002370,亚太药业,0.5000%,537.23万,459.65万,77.57万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002305,*ST南置,2.5100%,799.41万,809.26万,-9.84万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002265,建设工业,-1.0100%,2652.18万,3329.88万,-677.69万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002251,步步高,1.0000%,4266.34万,2921.38万,1344.96万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002173,创新医疗,0.2600%,2974.72万,2056.73万,917.98万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,002067,景兴纸业,0.0000%,1855.53万,2264万,-408.47万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-05,920056,能之光,%,440.09万,131.72万,308.36万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,688638,誉辰智能,-0.1300%,0,306.58万,-306.58万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,605188,国光连锁,0.3700%,1356.77万,0,1356.77万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,603595,东尼电子,3.4100%,0,785.91万,-785.91万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,603370,华新精科,%,2606.09万,0,2606.09万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,601929,吉视传媒,1.0900%,0,5451.15万,-5451.15万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,601218,吉鑫科技,0.2200%,0,410万,-410万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,600749,西藏旅游,-0.0800%,964.6万,0,964.6万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,300651,金陵体育,-7.3700%,1073万,417.46万,655.53万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-05,300410,正业科技,2.8200%,1327.57万,496.86万,830.71万,东方财富证券股份有限公司拉萨东环路第一证券营业部
